feature,importance_mean,importance_std,cv,score
4.34_eucl_dist_Rectum_Vagina_max,0.0026129908008539,0.0022813512535268,0.8730801423798102,0.001395023491912102
4.14_eucl_dist_Anus_Urethra_max,0.0023396082332089,0.0040045853555123,1.711647098442929,0.0008627996742468223
4.23_eucl_dist_Levator ani muscle_Pubis_max,0.0015102991282413,0.0015089867443933,0.9991303822177852,0.0007554780526949984
4.37_eucl_dist_Uterus_Vagina_mean,0.0015741685337978,0.0022495798454269,1.4290581777425353,0.0006480571557412289
4.11_eucl_dist_Anus_Levator ani muscle_std,0.0017766355743848,0.0034845238550172,1.9613036820565253,0.0005999504830085467
4.10_eucl_dist_Anus_Bladder_std,0.0014783867011411,0.0025606408796106,1.7320496359880146,0.0005411273212854562
4.18_eucl_dist_Bladder_Pubis_mean,0.0013397609674113,0.002320534065554,1.7320495147639972,0.0004903867811220956
4.28_eucl_dist_Pubis_Rectum_mean,0.0013101793797529,0.0022692972527612,1.7320494855747952,0.00047955916855483004
4.20_eucl_dist_Bladder_Urethra_max,0.001166698474739,0.002020781035361,1.732049322995594,0.0004270415123617743
4.22_eucl_dist_Bladder_Vagina_max,0.0011276797080601,0.0019531985490246,1.7320492716281386,0.0004127596525329392
4.37_eucl_dist_Uterus_Vagina_max,0.0009937700448364,0.0017212602086967,1.7320490646616329,0.0003637453139808378
4.22_eucl_dist_Bladder_Vagina_std,0.0007148137229393,0.000818809178886,1.1454844907489836,0.0003331712375556536
4.10_eucl_dist_Anus_Bladder_min,0.0008281559728054,0.0014344082214906,1.732048716116596,0.0003031263563932938
4.24_eucl_dist_Levator ani muscle_Rectum_mean,0.0006831588271747,0.0009027970901624,1.321502017904126,0.0002942744920771003
4.29_eucl_dist_Pubis_Urethra_std,0.000738381259919,0.0012789138575364,1.7320484618315395,0.00027026653085941097
4.32_eucl_dist_Rectum_Urethra_mean,0.0004833673127922,0.0008372167444742,1.7320472242749585,0.00017692494789158628
4.12_eucl_dist_Anus_Pubis_std,0.0003372962201523,0.0005842141905048,1.732045672481408,0.0001234592172267557
4.15_eucl_dist_Anus_Uterus_std,0.0003335403593099,0.0005777088486995,1.7320456146571588,0.00012208447674536926
4.17_eucl_dist_Bladder_Levator ani muscle_mean,0.0002802752958601,0.0004854510525361,1.7320446277712083,0.00010258811038849958
4.15_eucl_dist_Anus_Uterus_min,0.0002637818346756,0.000456883539772,1.7320442413695156,9.65510845986051e-05
4.29_eucl_dist_Pubis_Urethra_max,0.00025627270793,0.0004438773507281,1.7320440489718247,9.38025534494751e-05
4.31_eucl_dist_Pubis_Vagina_std,0.0002105557997473,0.0003646933429906,1.73204258151856,7.706900367206798e-05
4.18_eucl_dist_Bladder_Pubis_min,0.0001990095553481,0.0003446946610546,1.7320421042576168,7.284278490363063e-05
4.27_eucl_dist_Levator ani muscle_Vagina_std,0.000151853317531,0.0002630176612616,1.7320394015659568,5.5582403915536635e-05
4.23_eucl_dist_Levator ani muscle_Pubis_std,0.0001421591388768,0.000246226851295,1.7320386237691225,5.203408825921982e-05
3.1_region_coords_centroid_Y_min,0.0001260473224021,0.0002183203665586,1.732037066404961,4.6136754128289865e-05
4.36_eucl_dist_Urethra_Vagina_min,0.0001204713010255,0.0002086624142302,1.7320364303993254,4.409578865238317e-05
4.34_eucl_dist_Rectum_Vagina_std,7.794573998594993e-05,0.0001350059818892,1.7320285866161318,2.853035300135453e-05
1.4_frame_conf_min_min,7.715721491713771e-05,0.0001647725365518,2.135515145454747,2.4607508284240008e-05
4.14_eucl_dist_Anus_Urethra_std,5.986367268403884e-05,0.0001036869226164,1.7320218747983744,2.191185701558734e-05
3.8_region_coords_len_X_std,5.971554968736692e-05,0.0001034303660604,1.732021803032615,2.1857640235916533e-05
4.26_eucl_dist_Levator ani muscle_Uterus_std,4.844188072641309e-05,8.390379863233903e-05,1.7320150530724145,1.773119100201718e-05
3.6_region_coords_min_X_std,3.732905586678233e-05,6.465582135984408e-05,1.7320044092775448,1.3663614795063116e-05
