feature,importance_mean,importance_std,cv,score
4.14_eucl_dist_Anus_Urethra_mean,0.0083921923267691,0.0160277535297375,1.909840837271084,0.002884072633553212
4.28_eucl_dist_Pubis_Rectum_max,0.003859684925718,0.0014877438198904,0.38545722333965343,0.0027858564383635067
4.37_eucl_dist_Uterus_Vagina_min,0.0057906534677945,0.0072564557716107,1.2531322343559697,0.002570045991752316
4.30_eucl_dist_Pubis_Uterus_mean,0.0070041520108694,0.0124046567178116,1.7710430795217387,0.00252762292388405
4.23_eucl_dist_Levator ani muscle_Pubis_mean,0.0071147068329945,0.0153452799916142,2.1568390933005532,0.0022537438946740544
4.25_eucl_dist_Levator ani muscle_Urethra_mean,0.004653536876668,0.0056241093109626,1.2085663553230908,0.0021070396483456504
4.11_eucl_dist_Anus_Levator ani muscle_max,0.0041192888976589,0.0041022975886056,0.9958749421683196,0.0020639013049503505
4.10_eucl_dist_Anus_Bladder_mean,0.0033499495382701,0.0024325514168118,0.7261454726038908,0.0019407110185311902
4.19_eucl_dist_Bladder_Rectum_mean,0.0037779062691498,0.0038576269862099,1.02110155474463,0.0018692312913623707
4.36_eucl_dist_Urethra_Vagina_max,0.0048234685886514,0.0080076313981146,1.660139294120327,0.0018132391034231376
4.23_eucl_dist_Levator ani muscle_Pubis_min,0.0055916221730902,0.0121475625621958,2.1724572965961277,0.0017625523845788888
4.36_eucl_dist_Urethra_Vagina_min,0.0035838984706368,0.0038690616600162,1.079567574848502,0.001723386397240729
4.16_eucl_dist_Anus_Vagina_min,0.0032434811190433,0.0029316620051713,0.9038625457371183,0.0017036319803158486
4.23_eucl_dist_Levator ani muscle_Pubis_max,0.0039752695843295,0.0056856747002762,1.4302610551063129,0.0016357376817510657
4.21_eucl_dist_Bladder_Uterus_std,0.004283549352328,0.0072771187726511,1.6988521609641336,0.001587174508587292
4.18_eucl_dist_Bladder_Pubis_max,0.003777979424304,0.0052579928891339,1.3917469914107763,0.0015795899139296303
4.31_eucl_dist_Pubis_Vagina_mean,0.0039442375366863,0.0061625115898267,1.5624084427216343,0.001539269646058835
4.28_eucl_dist_Pubis_Rectum_mean,0.0029416757633172,0.0033017002894298,1.1223871808766022,0.0013860222064205126
4.26_eucl_dist_Levator ani muscle_Uterus_min,0.0026228487044482,0.0024178608596851,0.921844990044435,0.0013647555958129366
4.31_eucl_dist_Pubis_Vagina_max,0.0023379655623531,0.0020359843047197,0.8708355104405501,0.0012496906057778156
4.36_eucl_dist_Urethra_Vagina_mean,0.0022267447517114,0.002003213465665,0.8996148141858581,0.001172208563063741
4.35_eucl_dist_Urethra_Uterus_mean,0.0029404570228985,0.005093020961133,1.7320502185277422,0.0010762822011679803
4.10_eucl_dist_Anus_Bladder_min,0.0019481270736621,0.0016950643847197,0.8700990492546572,0.0010417240062437021
4.19_eucl_dist_Bladder_Rectum_std,0.0030052205538741,0.0056823243422948,1.8908171129578069,0.0010395747764199578
4.15_eucl_dist_Anus_Uterus_mean,0.0027673690019849,0.0049131111348809,1.7753719709894102,0.000997116433729185
4.11_eucl_dist_Anus_Levator ani muscle_min,0.0025869508968393,0.0045644537662383,1.7644138539317575,0.0009358044900404271
4.26_eucl_dist_Levator ani muscle_Uterus_mean,0.0019694410056864,0.0021947307651841,1.1143921775036891,0.0009314454653401042
4.31_eucl_dist_Pubis_Vagina_std,0.002378279803539,0.0041193014543446,1.732050079290416,0.0008705110574534933
4.11_eucl_dist_Anus_Levator ani muscle_std,0.0014007049438024,0.0012130721676323,0.8660434211760796,0.0007506282693677092
4.17_eucl_dist_Bladder_Levator ani muscle_max,0.0015000010238362,0.0014994514347053,0.9996329410746447,0.0007501381843760125
4.34_eucl_dist_Rectum_Vagina_mean,0.0013719876756624,0.0014439638099369,1.0524604434069038,0.0006684599842445787
4.15_eucl_dist_Anus_Uterus_std,0.0013405494338148,0.0017422702500667,1.2996678126526933,0.0005829317723364841
4.24_eucl_dist_Levator ani muscle_Rectum_max,0.0011402636191945,0.00110116089977,0.9657064520232826,0.0005800782807732242
4.25_eucl_dist_Levator ani muscle_Urethra_max,0.0012215854006015,0.0014061387765034,1.1510759908681267,0.000567895046845135
4.12_eucl_dist_Anus_Pubis_mean,0.0024541398115922,0.0084677262196868,3.450383197121073,0.0005514446066531458
4.35_eucl_dist_Urethra_Uterus_std,0.0017743650222686,0.0040747208773607,2.2964376155890327,0.0005382674356940752
4.16_eucl_dist_Anus_Vagina_std,0.0018195390079679,0.0045555106444542,2.50366060900298,0.0005193251319184359
4.20_eucl_dist_Bladder_Urethra_std,0.0014646418534734,0.0031727426565775,2.1662227409592325,0.00046258332824356983
4.37_eucl_dist_Uterus_Vagina_mean,0.0006527156418487,0.0002723822606536,0.4173055246180445,0.0004605327718768351
4.17_eucl_dist_Bladder_Levator ani muscle_mean,0.0010942569082216,0.0018545034075789,1.694758971943698,0.00040606856480092737
4.33_eucl_dist_Rectum_Uterus_mean,0.0017912025623012,0.0072523926488469,4.048893605107387,0.00035477130286311554
4.28_eucl_dist_Pubis_Rectum_std,0.0009210295809907,0.0015952700295499,1.7320489270116952,0.00033712045633023076
4.29_eucl_dist_Pubis_Urethra_mean,0.0010069032097052,0.0020250742527092,2.0111885849619187,0.00033438729634329225
1.4_frame_conf_min_min,0.0008431736506413,0.0012862891195019,1.5255310611195165,0.00033385994083459745
4.37_eucl_dist_Uterus_Vagina_std,0.001130538848372,0.0027967895818717,2.473853164839022,0.0003254423243373872
4.35_eucl_dist_Urethra_Uterus_max,0.0012133793293078,0.0063713605567785,5.250917954482735,0.00019411218290549576
